ID,LAT,closest,SST,Ecoregion,Calcite,Chlorophyll_a,Dissolved_oxygen,Nitrate,PAR,Primary_productivity,Salinity,Silicate,Phosphate,Average_tidal_amplitude,Rocky_shore_hab_avail,pH
1,-43,-43.0634545,12.42,SEP,0.001020962,3.847514132,6.175684533,6.851488873,29.59948985,1387,33.2,3.661032768,0.640371021,0.81,64.06348,8.061318113
2,-42,-41.903869,13.22,SEP,0.000407087,3.539797945,6.162432821,6.364729467,32.09043216,2097,33.45,3.655095384,0.611919947,0.63,60.6812,8.087883629
3,-41,-40.978439,13.5,SEP,0.000435855,3.564843319,6.119215091,6.120594932,33.09418223,2245,33.56,3.785566143,0.607589107,0.62,58.05134,8.102032497
4,-40,-39.905717,13.79,SEP,0.001031376,4.256147182,6.000794542,5.794501295,34.78163312,2131,33.66,3.76369614,0.592727318,0.62,56.31223,8.119871221
5,-39,-39.025465,13.79,SEP,0.003956019,5.60603943,5.923602524,5.78060005,35.31559763,3102,33.66,3.959403518,0.61032095,0.63,55.66746,8.125748408
6,-38,-37.8636635,14.2,SEP,0.000631398,2.181471023,5.79447473,5.264906984,36.92608926,1798,33.65,3.788817261,0.58239902,0.6,55.55131,8.152309448
7,-37,-36.947079,14.45,SEP,0.004731249,7.562810874,5.767445513,5.101283984,38.3986531,2647,33.91,3.923234207,0.600642615,0.6,56.04579,8.166394619
8,-36,-36.143739,14.57,SEP,0.003236454,5.792167238,5.691139162,5.306107111,38.7352979,1988,33.91,4.145904785,0.646699392,0.6,57.06322,8.172470013
9,-35,-35.129757,14.77,SEP,0.006211583,5.448333333,5.516583333,5.11275,38.607,1970,34.16,4.159666667,0.6637,0.6,58.08202,8.18525
10,-34,-34.038391,15.16,SEP,0.001685225,3.341721146,5.420834135,4.934490164,38.40371765,1567,34.16,4.135071244,0.677324072,0.59,59.87774,8.195478181
11,-33,-32.909578,15.56,SEP,0.000531561,2.836014876,5.56447406,4.273214242,37.18203305,1505,34.2,3.938849602,0.642778226,0.57,63.26999,8.208391089
12,-32,-31.8796315,15.76,SEP,0.000304379,1.419743322,5.646566001,4.147164326,36.53770498,1397,34.34,3.906475708,0.65184482,0.57,67.06225,8.214543203
13,-31,-30.9887685,15.96,SEP,0.000239883,0.971768084,5.644056989,3.612996235,37.12686883,1423,34.29,3.775087994,0.610956735,0.56,69.68301,8.219957569
